HIPNum1	HIPNum2	distance
12706	13679	6.067262
5348	3352	6.069296
2072	3356	6.072133
746	4422	6.077047
765	117880	6.077582
8796	9153	6.079947
3179	43	6.084560
10064	12200	6.087788
13268	10361	6.088247
9236	8928	6.091142
3179	118077	6.093819
9884	9110	6.094218
9236	5268	6.097910
3179	1415	6.100856
2021	112405	6.105553
746	4440	6.106927
6686	2876	6.109321
8886	5021	6.111351
8903	10795	6.112012
4427	7963	6.112503
13701	14040	6.118986
8796	7943	6.125063
7607	10403	6.127514
7588	4563	6.128796
9640	8475	6.135379
13847	16310	6.136737
13531	10361	6.137990
13531	16210	6.139217
13701	13874	6.141332
7588	9085	6.141718
765	2388	6.142501
11767	51384	6.143392
8102	9326	6.144004
2920	3478	6.146181
746	4427	6.146577
2920	2377	6.147190
8832	10328	6.149946
8903	10053	6.150668
6867	9459	6.151451
13268	16599	6.155095
8796	10559	6.165862
6686	8704	6.167605
4427	695	6.170217
9884	8159	6.170313
13531	15988	6.174614
4427	7593	6.177842
3179	117957	6.178492
13268	10115	6.179581
5165	2472	6.183740
13268	16602	6.186839
8102	9999	6.187804
13268	15193	6.191232
6537	4914	6.192836
2920	5361	6.196086
5165	6592	6.198449
746	2854	6.201394
14135	15800	6.202611
1067	2235	6.203840
5165	2383	6.203932
13531	16599	6.207525
746	117430	6.207656
8832	9533	6.208869
6867	5661	6.212010
14328	14544	6.215947
7588	9007	6.218747
9487	11046	6.220736
13268	9990	6.224081
9347	11033	6.226304
3092	5319	6.226680
2920	518	6.227990
14328	11174	6.228666
746	4383	6.230411
7607	10366	6.231977
7607	4844	6.232356
4436	2912	6.239461
13268	15219	6.241446
4436	4675	6.244448
9487	10212	6.250067
746	115590	6.250455
3092	3269	6.252235
9236	10871	6.252379
3821	4023	6.253785
2072	3456	6.255655
8886	8115	6.256119
9884	10050	6.259703
14328	12690	6.261259
3419	1402	6.264613
746	3544	6.265080
2081	117880	6.268846
4427	418	6.269882
5364	3559	6.270945
2081	3583	6.274271
13209	12200	6.280770
13209	13914	6.281880
8832	7436	6.282602
13701	14819	6.288279
3419	3834	6.289202
8796	10540	6.293745
9884	7874	6.306342
8102	9862	6.306749
9347	11381	6.307151
6686	10379	6.309325
6686	9564	6.311653
3821	3965	6.312795
13268	16303	6.312892
5364	4801	6.313554
8645	7450	6.314641
13268	11465	6.322702
8903	6981	6.325573
1067	117718	6.328356
8832	6732	6.332968
14328	13965	6.335187
5364	3436	6.342269
3179	117863	6.342392
9007	11407	6.355541
1562	3455	6.357292
8102	9655	6.364182
9236	13387	6.365013
13847	16285	6.368332
6867	8514	6.369505
3179	4844	6.370760
7607	10562	6.372729
746	4475	6.373019
3092	1215	6.373751
8886	10227	6.374575
9347	7363	6.375414
1067	1196	6.376906
8102	9347	6.378457
3419	4104	6.381538
7097	5081	6.381618
8903	10203	6.382253
7097	8588	6.383994
14328	11465	6.387296
10064	10446	6.388016
2072	522	6.389829
13531	16244	6.390462
10064	12287	6.401980
14328	16281	6.402343
13847	11802	6.402995
10064	8922	6.403080
8102	6822	6.406601
3092	2270	6.410905
11767	49688	6.418222
10602	8837	6.418662
13847	11231	6.418711
8886	4962	6.419339
6686	10227	6.424038
11767	101044	6.425571
9236	10513	6.426476
6537	6670	6.427455
8796	10064	6.429304
2920	2876	6.429684
9007	12225	6.431086
14135	15383	6.431714
8832	6714	6.434456
3821	3951	6.435327
2021	7601	6.438637
8903	10535	6.438861
8832	6706	6.439108
12706	11484	6.439173
13531	11020	6.439439
4427	2474	6.439697
4436	6794	6.440400
4427	330	6.441740
8886	10718	6.442902
13268	16587	6.444427
14328	11279	6.446548
6867	7189	6.450668
13209	15154	6.452566
12706	12584	6.460438
5447	5493	6.461902
3179	2599	6.463333
8886	4572	6.463860
11767	112519	6.464326
6537	7999	6.465436
14328	13713	6.476605
13531	16147	6.478855
9236	10418	6.482592
12706	10723	6.483693
13701	13951	6.484008
10064	11548	6.484255
5447	6794	6.485687
6867	9095	6.487391
13531	10366	6.488275
765	3583	6.489402
746	1982	6.491763
9007	6952	6.492987
13268	16228	6.494990
746	2920	6.495282
7097	5204	6.496508
3821	7617	6.506201
6867	7213	6.511699
4427	2707	6.512236
10602	12611	6.516965
9640	12057	6.521744
